Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-3,99506576600143E-18","5,33137969018105E-18","0,180234931906412",0,0,0,"50,5064528015554","0,507467643046138","2,23371852613819E-18","-2,20689887022559E-17","0,507467643046138","7,80868643803156E-18","0,164615591191858",0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/base_link.STL,"0,650980392156863","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/base_link.STL,,BasisMitDH-1;ErstesGlied-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,"0,120817727289337","9,30999931508023E-07","0,0513770238788596",0,0,0,"49,5926714803606","0,222900609838824","2,0310593816954E-17","0,0739678064109204","0,736885929341891","6,2640615149761E-18","0,8650916120764",0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l1.STL,"0,650980392156863","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l1.STL,,ZweitesGliedMitDH-1,Origin_j1,,j1,revolute,0,"-0,375",0,"1,5708",0,0,base_link,0,0,1,10,1,"-2,7","2,7",,,"0,2","0,5",,,,
l2,"-0,112811619112","2,03690357156592E-08","-0,08488266623816",0,0,0,"32,5846948095504","0,16446281982603","-2,66721834411411E-07","0,00501596079265974","0,377276755482314","1,55740958096566E-07","0,328743826647255",0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l2.STL,1,"0,949019607843137","0,898039215686275",1,0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l2.STL,,DrittesGliedMitDH-1,Origin_j2,,j2,revolute,"0,325",0,"0,06","3,1416",0,"3,1416",l1,0,0,1,10,1,"-2,7","2,7",,,"0,2","0,5",,,,
l3,"-1,11022302462516E-16","3,84661319935812E-17","-0,185",0,0,0,"0,460306155603976","0,00526283371240546","1,18856148373066E-37","-6,80626111769164E-20","0,00526283371240546","2,77378988674234E-34","2,30153077801988E-05",0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l3.STL,1,"0,949019607843137","0,898039215686275",1,0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l3.STL,,ViertesGliedMitDH-1,Origin_j3,,j3,prismatic,"-0,225",0,"0,06926",0,0,0,l2,0,0,1,10,1,0,290,,,"0,2","0,5",,,,
l4,"-3,33066907387547E-16","4,16333634234434E-17","0,0115960504326883",0,0,0,"0,00734707672394354","1,56955034877565E-06","-1,85288457211878E-22","-2,27667438887459E-22","1,56955034877565E-06","-6,48270541037055E-23","2,46567234921726E-06",0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l4.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://scara_mit_dh_urdf/meshes/l4.STL,,EEMitDH-1,Origin_j4,Axis_j4,j4,revolute,0,0,0,0,0,"-3,0137",l3,0,0,1,10,1,"-6,2","6,2",,,"0,2","0,5",,,,
